connecting
connected with result code0
sensorData {"accelX":-0.732666015625,"accelY":0.193603515625,"accelZ":-0.709716796875,"gyroX":-6.1944580078125,"gyroY":171.71722412109375,"gyroZ":1.424102783203125}
sensorData {"accelX":-0.819091796875,"accelY":0.115966796875,"accelZ":-0.677734375,"gyroX":-13.906402587890625,"gyroY":144.00558471679688,"gyroZ":0.536956787109375}
sensorData {"accelX":-0.52978515625,"accelY":0.050048828125,"accelZ":-0.943359375,"gyroX":-19.06585693359375,"gyroY":195.84136962890625,"gyroZ":-0.038909912109375}
sensorData {"accelX":-0.432373046875,"accelY":0.03662109375,"accelZ":-1.11083984375,"gyroX":-13.143768310546875,"gyroY":133.21975708007812,"gyroZ":-0.435791015625}
sensorData {"accelX":-0.21484375,"accelY":0.030517578125,"accelZ":-1.144775390625,"gyroX":-12.74688720703125,"gyroY":115.00991821289062,"gyroZ":-0.4046630859375}
sensorData {"accelX":-0.05078125,"accelY":0.0322265625,"accelZ":-1.143310546875,"gyroX":-8.155517578125,"gyroY":89.1192626953125,"gyroZ":0.17120361328125}
sensorData {"accelX":0.07275390625,"accelY":0.04150390625,"accelZ":-1.182373046875,"gyroX":-3.53302001953125,"gyroY":53.89801025390625,"gyroZ":0.708160400390625}
sensorData {"accelX":-0.128662109375,"accelY":0.072265625,"accelZ":-1.112548828125,"gyroX":-0.381317138671875,"gyroY":16.676788330078125,"gyroZ":-0.20233154296875}
sensorData {"accelX":-0.0205078125,"accelY":0.01806640625,"accelZ":-1.3173828125,"gyroX":8.57574462890625,"gyroY":-64.24026489257812,"gyroZ":1.91436767578125}
sensorData {"accelX":-0.050537109375,"accelY":0.0048828125,"accelZ":-1.45947265625,"gyroX":17.244873046875,"gyroY":-130.052490234375,"gyroZ":3.3306884765625}
sensorData {"accelX":-0.184326171875,"accelY":0.052490234375,"accelZ":-1.338134765625,"gyroX":27.104644775390625,"gyroY":-211.25747680664062,"gyroZ":3.61083984375}
sensorData {"accelX":-0.35986328125,"accelY":0.09765625,"accelZ":-1.10693359375,"gyroX":26.81671142578125,"gyroY":-220.13671875,"gyroZ":2.498016357421875}
sensorData {"accelX":-0.605224609375,"accelY":0.093017578125,"accelZ":-0.688720703125,"gyroX":27.5482177734375,"gyroY":-255,"gyroZ":2.9571533203125}
sensorData {"accelX":-0.656982421875,"accelY":0.0751953125,"accelZ":-0.244384765625,"gyroX":28.201904296875,"gyroY":-250.86776733398438,"gyroZ":4.3267822265625}
sensorData {"accelX":-0.501953125,"accelY":0.056396484375,"accelZ":0.1591796875,"gyroX":24.48211669921875,"gyroY":-185.53802490234375,"gyroZ":4.521331787109375}
sensorData {"accelX":-0.529541015625,"accelY":0.138916015625,"accelZ":0.541015625,"gyroX":19.12811279296875,"gyroY":-113.65585327148438,"gyroZ":5.206146240234375}
sensorData {"accelX":-0.581787109375,"accelY":0.074462890625,"accelZ":0.955322265625,"gyroX":-0.14007568359375,"gyroY":72.53585815429688,"gyroZ":5.58746337890625}
sensorData {"accelX":-0.612060546875,"accelY":0.0556640625,"accelZ":0.407470703125,"gyroX":-12.68463134765625,"gyroY":173.49151611328125,"gyroZ":3.548583984375}
sensorData {"accelX":-0.873291015625,"accelY":0.08447265625,"accelZ":-0.11962890625,"gyroX":-13.672943115234375,"gyroY":167.0947265625,"gyroZ":0.692596435546875}
sensorData {"accelX":-0.789306640625,"accelY":0.061279296875,"accelZ":-0.447265625,"gyroX":-15.135955810546875,"gyroY":176.6510009765625,"gyroZ":-1.797637939453125}
sensorData {"accelX":-0.686767578125,"accelY":0.102294921875,"accelZ":-0.7587890625,"gyroX":-11.291656494140625,"gyroY":151.56967163085938,"gyroZ":-3.400726318359375}
sensorData {"accelX":-0.583251953125,"accelY":0.10986328125,"accelZ":-1.12109375,"gyroX":-14.256591796875,"gyroY":194.33944702148438,"gyroZ":-2.2100830078125}
sensorData {"accelX":-0.43408203125,"accelY":0.082275390625,"accelZ":-1.039306640625,"gyroX":-10.95703125,"gyroY":142.70599365234375,"gyroZ":-2.19451904296875}
sensorData {"accelX":-0.14599609375,"accelY":0.07275390625,"accelZ":-1.06005859375,"gyroX":-11.96868896484375,"gyroY":131.94351196289062,"gyroZ":-2.36572265625}
sensorData {"accelX":0.147705078125,"accelY":0.017822265625,"accelZ":-1.225830078125,"gyroX":-11.4239501953125,"gyroY":107.22793579101562,"gyroZ":-2.61474609375}
sensorData {"accelX":0.19140625,"accelY":-0.0009765625,"accelZ":-1.087890625,"gyroX":-6.73919677734375,"gyroY":56.65283203125,"gyroZ":-2.513580322265625}
sensorData {"accelX":0.157470703125,"accelY":-0.00537109375,"accelZ":-1.208740234375,"gyroX":-0.536956787109375,"gyroY":5.424041748046875,"gyroZ":-1.081695556640625}
sensorData {"accelX":0.020263671875,"accelY":0.03662109375,"accelZ":-1.2412109375,"gyroX":8.96484375,"gyroY":-55.594482421875,"gyroZ":1.750946044921875}
sensorData {"accelX":-0.00390625,"accelY":0.011962890625,"accelZ":-1.431884765625,"gyroX":18.92578125,"gyroY":-129.60113525390625,"gyroZ":3.299560546875}
sensorData {"accelX":-0.113037109375,"accelY":0.0478515625,"accelZ":-1.39501953125,"gyroX":27.976226806640625,"gyroY":-202.55722045898438,"gyroZ":3.299560546875}
sensorData {"accelX":-0.4150390625,"accelY":0.08642578125,"accelZ":-1.12890625,"gyroX":29.21356201171875,"gyroY":-231.35833740234375,"gyroZ":1.97662353515625}
sensorData {"accelX":-0.504638671875,"accelY":0.072265625,"accelZ":-0.756103515625,"gyroX":30.05401611328125,"gyroY":-255,"gyroZ":2.07000732421875}
sensorData {"accelX":-0.6162109375,"accelY":0.091064453125,"accelZ":-0.362548828125,"gyroX":26.1474609375,"gyroY":-232.0587158203125,"gyroZ":4.4512939453125}
sensorData {"accelX":-0.513671875,"accelY":0.103515625,"accelZ":0.098388671875,"gyroX":23.90625,"gyroY":-195.9503173828125,"gyroZ":6.08551025390625}
sensorData {"accelX":-0.44921875,"accelY":0.09423828125,"accelZ":0.451904296875,"gyroX":20.855712890625,"gyroY":-109.27459716796875,"gyroZ":7.906494140625}
sensorData {"accelX":-0.53173828125,"accelY":0.0703125,"accelZ":0.631591796875,"gyroX":2.186737060546875,"gyroY":69.29855346679688,"gyroZ":7.322845458984375}
sensorData {"accelX":-0.67919921875,"accelY":0.082275390625,"accelZ":0.31640625,"gyroX":-6.30340576171875,"gyroY":116.95541381835938,"gyroZ":5.408477783203125}
